dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,0.03745401188473625,29.0,15.0,44.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.07796910002727693,21.0,39.0,59.0,0.5996647283775998,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.015599452033620266,11.0,11.0,25.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.03337086111390219,8.0,24.0,4.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.0020584494295802446,2.0,24.0,45.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.09385527090157503,2.0,21.0,34.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.030424224295953775,22.0,44.0,26.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.029122914019804193,27.0,42.0,29.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.09737555188414593,15.0,47.0,52.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.03824619912671628,20.0,57.0,4.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.08599404067363206,7.0,21.0,10.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.006505159298527952,4.0,25.0,15.0,0.7347920431924145,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.08083973481164612,9.0,26.0,54.0,0.5996647283775998,0.5,0.7757069159458516,0.2757069159458516
heart,0.0230893825622149,28.0,47.0,8.0,0.7526880664256902,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.060999665778262095,8.0,47.0,36.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.0909320402078782,4.0,50.0,41.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.07553614103176526,6.0,54.0,43.0,0.5996647283775998,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.05677003278199915,29.0,18.0,27.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.04497541333697657,10.0,36.0,15.0,0.7064834459636441,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.0727271995856421,15.0,8.0,15.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.019598286241914523,25.0,40.0,22.0,0.7469124888679345,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.038867728968948204,18.0,47.0,54.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.05867511656638483,25.0,45.0,42.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.02962735057040824,13.0,1.0,26.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.09868869366005173,24.0,1.0,45.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.029348817471803814,11.0,51.0,18.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.071134195274865,3.0,33.0,6.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.0926300878513349,26.0,41.0,29.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.08631034258755936,8.0,12.0,35.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.009541011649041132,23.0,23.0,25.0,0.7466268204201372,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.06659223566174967,12.0,40.0,23.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.08872127425763265,1.0,35.0,38.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.09717120953891038,3.0,1.0,6.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.05612771975694963,14.0,39.0,28.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.05227328293819941,15.0,26.0,43.0,0.6819667085756196,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.043933650186577015,19.0,32.0,40.0,0.7064834459636441,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.04753702231821118,29.0,32.0,5.0,0.7064834459636441,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.0907566473926093,23.0,39.0,46.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.05398410913016732,29.0,36.0,14.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.0076979909828793,27.0,51.0,23.0,0.7526622825973074,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.08804678390152577,10.0,45.0,58.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.010549425983027062,28.0,28.0,45.0,0.7418072908481325,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.018657005888603584,11.0,58.0,56.0,0.7495940070197497,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.08960912999234932,7.0,33.0,2.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.02279351625419417,25.0,52.0,14.0,0.7526880664256902,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.08607305832563435,7.0,6.0,9.0,0.5,0.5,0.7757069159458516,0.2757069159458516
heart,0.053408941937544196,5.0,33.0,52.0,0.6647173273875007,0.7251270315348513,0.7757069159458516,0.050579884411000364
heart,0.026941233379852148,24.0,15.0,55.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.021876421957307025,24.0,41.0,53.0,0.7469124888679345,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.0363629602379294,17.0,58.0,53.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.02468760628386012,7.0,2.0,4.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.03008783098167697,17.0,56.0,18.0,0.7064834459636441,0.7734959854156163,0.7757069159458516,0.0022109305302353555
heart,0.0266781014275285,2.0,2.0,29.0,0.7394867462936769,0.7734959854156163,0.7757069159458516,0.0022109305302353555
